headline,score
"चौंक जाएंगे आप: इस महिला ने 50 साल तक नहीं धोए बाल, अब देखिए कैसा है उसका लुक, तस्वीरें वायरल",4
Three men convicted by UK court of plotting to bomb airliners,2
Lebanese Soldiers Killed in Ambush,0
"Van Spirits Away Protester in Egypt, Signaling Crackdown on Criticism Over Gaza",2
"अनन्या पांडे ने किया खुलासा, कहा-इस बॉलीवुड फिल्म की तरह करना चाहती हूं शादी",2
"रामकृपाल यादव: लालू प्रसाद यादव के 'हनुमान' कहलाते थे रामकृपाल, छात्र राजनीति से अब तक का सफर",0
"चौंकाने वाला खुलासा: आपके घर की ये चीज है रेडियोएक्टिव, तुरंत फेंके नहीं तो होगा कैंसर!!!",4
"British government apologises for suggesting the Pope could create a brand of ""Benedict"" condoms",2
हिरोशिमा पर परमाणु हमले के 70 बरस: जानें क्या है 'लिटिल ब्वॉय',1
"मुंबई इंडियंस ने अपने कप्तान को हटाया, फैंस ने किया विरोध",3
BJP की 2014 की जीत के हीरो प्रशांत किशोर 2019 में फिर नरेंद्र मोदी का दे सकते हैं साथ!,1
You won't believe what this chemist invented in his shop,4
पानी की समस्या का हल जानने को रालेगण आएं राहुल : अन्ना,0
"Gunman dies, police officer injured after stand-off ends in West Yorkshire, England",2
"मैं इस्तीफा क्यों दूं, रेप के आरोप झेल रहे केंद्रीय मंत्री निहालचंद ने पूछा",1
Shocking ! वो 'कर रहा था' और ट्विंकल खन्‍ना ने खींच ली फोटो...,3
Utility Suspends Nuclear Plant Effort,0
"केएल राहुल और अथिया शेट्टी का शादी का वीडियो वायरल, देख फैंस हुए शॉक",3
INX मीडिया केस : क्या सलाखों से निकलेंगे पी चिदंबरम? सुप्रीम कोर्ट जमानत पर आज सुनाएगा फैसला,1
"नीतीश का मुस्लिम समाज को संदेश, वोट जहां देना हो दीजिये, पर आपको मुख्यधारा में लाने में कसर नहीं छोड़ेंगे",0
प्राइम टाइम इंट्रो : सेकुलरिज़्म की परिभाषा क्या हो?,1
"2009 was worst year for airlines, says International Air Transport Association",2
"Massa wins 2006 Brazilian Grand Prix, Alonso and Renault win championships",2
Prisoners escape from Afghan jail after Taliban attack,1
"The Secondary Characters Of ""Friends,"" Then Vs. Now",3
"खांसी से तुरंत राहत दिलाता है यह घरेलू नुस्खा, 2 दिन में मिलेगा आराम",3
"Pulwama Terror Attack:  बडगाम पहुंच गृहमंत्री राजनाथ सिंह ने शहीद जवान को दिया कंधा, देखें VIDEO",0
15 Weird Things You Never Knew There Were Words For,3
"दीपिका पादुकोण ने शादी के बाद पहली बार बताया, रणवीर के साथ कैसा है रिश्ता",3
"पीएम मोदी की सलाह भी ताक पर, वोट के लिए कुछ भी करेगी बिहार बीजेपी",0
Christian youth camp directors charged with dragging 15-year-old girl behind van,2
Japanese nuclear officials race to avoid disaster as radiation levels in sea rocket,2
Russian Ksenia Sukhinova crowned Miss World 2008,1
"शॉकिंग: देश के इस शहर में मिल रहा है 10 रुपये में घर, लोगों ने खरीदे 1000 घर, सरकार हैरान",4
"सगाई होते ही दुल्हन ने दहेज में मांगी ऐसी चीज़, बाराती हैरान लेकिन दूल्हे ने ऐसे पूरी की उसकी Wish",2
"IPL Auction 2018:  बेन स्टोक्स, जयदेव उनादकट बने सरताज, अनकैप्ड खिलाड़ियों ने सुपर सितारों को चौंकाया, किसी तरह बिके क्रिस गेल",2
"29 Impossibly Stylish Cat Gifts, In Order Of Awesomeness",3
This Crying Koala Is The Cutest Thing You'll See Today,3
...तो ईद पर पाकिस्तान के प्रधानमंत्री इमरान खान सांप के चमड़े से बनी सैंडल पहने हुए आएंगे नजर!,1
कैसे 62 साल की उम्र में भी 32 के लगते हैं अनिल कपूर! जानें अनिल कपूर के डाइट सीक्रेट,1
क्या चुनाव बाद मायावती एक बार फिर BJP से हाथ मिला लेंगी? अखिलेश यादव ने NDTV को दिया यह जवाब,1
"तहलका मचाने वाली तस्वीरें: अंटार्कटिका में मिला 100 फीट का विशालकाय जीव, वैज्ञानिक हुए हैरान, देखें फोटो!!!",4
"सनसनीखेज: इस मंदिर के पुजारी ने किया था 50 से ज्यादा महिलाओं के साथ दुष्कर्म, गिरफ्तार!!!",4
A Fitting Time to Honor Mentor of Ashe and Gibson,1
आखिर केजरीवाल सरकार क्यों मांग रही है स्कूलों के बच्चों के पैरेंट्स के आधार और वोटर ID कार्ड?,1
तुम मुसलमानों और ईसाइयों! तुम तो पूर्वजन्म में विश्वास नहीं करते. तुम तो हिन्दुओं की तरह यह तर्क पेश नहीं कर सकते कि प्रत्यक्षतः निर्दोष व्यक्तियों के कष्ट उनके पूर्वजन्मों के कर्मों का फल है. मैं तुमसे पूछता हूं कि उस सर्वशक्तिशाली ने शब्द द्वारा विश्व के उत्पत्ति के लिये छः दिन तक क्यों परिश्रम किया? और प्रत्येक दिन वह क्यों कहता है कि सब ठीक है? बुलाओ उसे आज. उसे पिछला इतिहास दिखाओ. उसे आज की परिस्थितियों का अध्ययन करने दो. हम देखेंगे कि क्या वह कहने का साहस करता है कि सब ठीक है.,2
"किम कार्दशियन ने शेयर की नॉटी फोटो, देखकर कहेंगे OMG!",1
"IPL 2019: धवन के बेटे का डांस देखकर हैरान रह गए रणवीर सिंह, कह डाली ऐसी बात, देखें VIDEO",2
"प्रियंका चोपड़ा के अमेरिका में घर की तस्वीरें हुई लीक, देख अंदर का लुक",3
Mets Show More Reasons for Their Optimism,1
MLB: Tom Glavine wins 300th game,0
जम्मू कश्मीर में सरकार गठन पर नेशनल कॉन्फ्रेंस ने दिया पीडीपी को समर्थन,0
पेट्रोल नहीं पानी से चलेगी कार!,1
लालू प्रसाद यादव पर अचानक बंदिश के क्या हैं मायने...,1
"Jeremy Tyler, N.B.A. Prospect, Is Groomed to Play His Own Way",2
"लवशुदा हैं आप, तो बताइये आपका प्यार इनमें से कितने स्टेज कर चुका है पार !",1
You won't believe what this barber did for poor children,4
"This Vine Of New York On ""Celebrity Big Brother"" Is Fucking Perfect",3
"मिस्र : विरोध प्रदर्शनों के दौरान छह मरे, सैकड़ों गिरफ्तार",0
S. Korean President Reshuffles Cabinet,0
"आगरा के होटल में दुल्हन ने शादी से पहले ही बोला 'नहीं', मचा बवाल",3
"Scuderi, an Unlikely Savior, Emerges for the Penguins",1
Myanmar Presses Case Against Pro-Democracy Leader,0
NSE के सहयोग से BHU में शुरू होंगे दो नए डिग्री कोर्स,0
"चौंकाने वाला खुलासा: आपकी किडनी खराब कर रही है ये 5 चीजें, तुरंत छोड़ दें, डॉक्टर ने दी चेतावनी!!!",4
"होश उड़ जाएंगे: इस शख्स की आंखों से निकलता है खून, डॉक्टर हैरान, कहा- दुनिया का पहला मामला",4
"UEFA Champions League: April 1, 2008",0
"Meet The Actor Who Outshines Even Channing Tatum In ""Hail Caesar!""",4
Charles Taylor to Speak at War Crimes Trial,1
"बीपी को कंट्रोल करने के लिए डाइट में शामिल करें ये 3 चीजें, असर देख हैरान होंगे",3
17 Pictures Hot People Will Never Understand,3
"चंडीगढ़ में मॉल में अचानक लगी आग, 100 लोगों को किया गया बाहर",3
"हैरतंगेज: 2 साल के बच्चे ने याद की पूरी गीता, माता-पिता हैरान, वैज्ञानिक भी चौंके!!!",4
क्या BJP-JDU के बीच दरार? रावण दहन में CM नीतीश तो पहुंचे लेकिन खाली रही भाजपा नेताओं की कुर्सियां,1
Porsche Looks at Restructuring VW Relationship,0
This will blow your mind: The secret WhatsApp feature nobody knows,4
"UPSC Civil Services Preliminary Exam 2017: एडमिट कार्ड में खराब फोटो हो, तो आधार कार्ड ले जाएं प्रतियोगी",0
"अस्थमा के मरीजों के लिए रामबाण है यह घरेलू नुस्खा, अपनाएंगे तो होगा चमत्कार",3
"सनसनीखेज: इस स्कूल के बच्चे रोज खाते हैं सोने की टॉफी, पैरेंट्स हैरान, स्कूल ने किया खुलासा!!!",4
17 Places All Music Lovers Should Go In London,3
"दिल्ली कैपिटल्स के कप्तान को लेकर बड़ी खबर, फैंस ने जताई नाराजगी",3
"पवन सिंह से आम्रपाली दुबे ने की शिकायत 'शिव मानत नहीं', Video हुआ वायरल",0
"आपने कभी नहीं देखा: दुनिया की सबसे छोटी औरत भारत में, उम्र 30 साल, लेकिन लंबाई सिर्फ 2 फीट, देखें तस्वीरें!!!",4
We Reenacted What Kids Said About Black Leaders And It's Amazing,3
13 Confessions About Masturbation That'll Make You Go WTF,3
"Report: 50,000 American casualties in Iraq",0
Red Wings Come on Strong in Third Period to Take Game 1,2
"हरिद्वार के घाट पर दो समुदायों के बीच झड़प, 10 घायल, भारी पुलिस बल तैनात",3
"तस्वीरें देख चौंक जाएंगे: अफ्रीका के इस जंगल में मिला इंसानी चेहरे वाला जानवर, देखकर वैज्ञानिक भी हैरान!!!",4
Tell Us About Yourself(ie): Erica Ash,3
"मायावती तक पहुंची NRHM घोटाले की आंच, 'बड़ी साजिश' के खुलासा के लिए पूछताछ करेगी CBI",2
"काफी उलझन भरी थी शीना बोरा की जिंदगी, दोस्त ने फेसबुक पर किया खुलासा",2
What happens next will shock you - watch this rescue mission!!!,4
USA under pressure at climate talks,0
"दूरसंचार, रक्षा क्षेत्र में एफडीआई बढ़ाने के पक्ष में वाणिज्य मंत्रालय",0
"Behind Red Tides, the Swimming and Shape of Plankton",1
Which Male Actor Should You Get For Christmas Based On The First Letter Of Your Name,3
"बाबर आजम की कप्तानी पर उठे सवाल, पाकिस्तान के पूर्व दिग्गज ने कही ये बात",3
"गजब: इस आदमी ने बिना पैर के कर लिया एवरेस्ट फतह, दुनिया हैरान, मिला नेशनल अवार्ड!!!",4
"हैरान करने वाली बात: 5 साल के बच्चे को मास्टर डिग्री, गिनीज बुक में नाम दर्ज, पढ़कर रह जाएंगे हैरान!!!",4
Shocking CCTV footage: Ghost caught on camera at abandoned hospital,4
F.B.I. and States Vastly Expand DNA Databases,1
"आप सांसद संजय सिंह ने MCD पर लगाया आरोप, कहा- फैक्ट्री अवैध थी तो उसे बंद क्यों नहीं किया गया?",1
कसाब की सुरक्षा के बिल को देख महाराष्ट्र सरकार हैरान,2
"सनसनी: रात को सोते वक्त दिखता है भूत, पूरे गांव में दहशत, पुलिस ने कहा- कोई नहीं है, लेकिन लोग नहीं मानते!!!",4
Heavy rains start in central and southern Chile while aftershock takes place,2
पुलवामा हमले के मामले में पाकिस्तान ने भारत से और सबूत मांगे,0
"'बड़े नामों का कर दूंगा खुलासा, लेकिन ये लोग मुझे जिंदा नहीं छोड़ेंगे', करोड़ों के घोटाले के आरोपी ने जारी किया VIDEO",2
Group of Rich Americans Sues UBS to Keep Names Secret in Tax Case,2
"रेखा के अनदेखे फोटोशूट की तस्वीरें वायरल, देख पुराना लुक",3
दिल्ली : प्रेमी ने प्रेमिका और खुद पर पेट्रोल डालकर आग लगाई,0
Report says global warming may cause 25m malnourished children by 2050,2
"Shocking: Your favourite soft drink contains plastic, lab report reveals",4
"क्या पक रही है खिचड़ी : कमल हासन से मिले अरविंद केजरीवाल, दोनों ने की एक-दूसरे की तारीफ",1
Matthew McConaughey Has Reached Peak Hot Dad Mode,3
"Gully Boy के एमसी शेर को अमिताभ बच्चन ने दिया सरप्राइज, हैरान रह गए सिद्धांत चतुर्वेदी",2
Imperial Tobacco to cut over 2000 jobs,1
Representative for ACLU tells Wikinews their opinion on lifting of Wikileaks court injunction,2
Nine killed as protests spread to Kandahar over Qur'an burning,1
Hubble detects methane on distant planet,0
"पीएम मोदी और अमित शाह की जोड़ी ने एक बार फिर अपने फैसले से सबको चौंकाया, जानें- पूरा मामला",2
फर्जी बाबाओं के जरिए सैन्य जवानों को जासूसी और हनी ट्रैप में फंसाने की पाक की साजिश का खुलासा,2
"DNA Tests Prove Michigan Man, Searching for Origins, Was Not Kidnapped Toddler",2
There's An Amazing New Beauty Box Catering To Women Of Color,3
संभाजी भिड़े ने कहा- UNGA में पीएम मोदी की बुद्ध वाली टिप्पणी गलत क्योंकि...,1
San Francisco Chronicle Outsources Printing,0
"हनीमून से लौटे अंगद बेदी और नेहा धूपिया, एयरपोर्ट पर यूं आए नजर",0
Shocking CCTV: Thief returns everything after seeing photo,4
You'll Be In Tears After Hearing Josh Groban And Kelly Clarkson Duet,3
Iraqi Soccer Team Finally Returns Home,0
"राहुल गांधी ने पीएम मोदी को घेरा, पूछा- क्या आपने किसानों को उनकी उपज का सही दाम दिया?",1
Marcinkiewicz's cabinet given vote of confidence,0
Shocking video: Man survives 500 feet fall without a scratch,4
"मुंबई में सबवे ढहने से मची अफरातफरी, 5 लोगों के दबे होने की आशंका",3
"यकीन नहीं होगा: इस फल को खाने से झड़ जाते हैं दांत, लेकिन लोग खाते हैं रोज, वजह हैरान करेगी!!!",4
You won't believe what this vegetable vendor does with his earnings,4
"Ferry capsizes in Bangladesh, at least five dead and 50 missing",2
"हैदराबाद में शराब के ठेके पर हुई फायरिंग, एक व्यक्ति की मौत",3
You won't believe which cricketer just became police officer,4
This one herb can cure your thyroid in 30 days,4
"Nora Fatehi ने 'साकी-साकी' गाने पर यूं किया धमाकेदार डांस, हैरान हो गए सभी- देखें Video",2
"एलर्जी से छुटकारा दिलाएगा यह देसी नुस्खा, अपनाएंगे तो हमेशा रहेंगे फ्री",3
मैथ्‍स के इस सवाल से हर कोई हैरान? क्‍या आप बता सकते हैं सही जवाब?,2
"सनराइजर्स हैदराबाद ने अपने स्टार खिलाड़ी को बाहर किया, फैंस ने किया विरोध",3
"अस्थमा के मरीजों के लिए रामबाण है यह काढ़ा, रोज पिएं, मिलेगी राहत",3
"कोलेस्ट्रॉल कम करने के लिए रोजाना पिएं यह चाय, 1 महीने में दिखेगा फर्क",3
"आपने कभी नहीं देखा: दुनिया की सबसे लंबी औरत भारत में, लंबाई 8 फीट, देखें तस्वीरें",4
Shocking: Your favourite shampoo contains rat poison,4
Final match of the Chappell-Hadlee trophy washed out in Brisbane,1
"Will Ferrell Is The New, Badass Santa",3
"शॉकिंग रिपोर्ट: देश के 50% लोग कर रहे हैं ये गलत काम, कहीं आप तो नहीं? सरकार ने जारी की लिस्ट",4
"चांदनी चौक में उतरा UFO, लोगों से रेडियो से संपर्क की कोशिश में एलियंस!",1
10 arrested over Ugandan school fire as death toll reaches 20,2
"देवघर : आश्रम में भक्तों की भगदड़, आठ महिलाओं समेत 12 की मौत",0
"मोटापा घटाने के लिए जिम जाने की जरूरत नहीं, यह 3 योगासन करें, दिखेगा असर",3
UK to ban Islamist group,0
"कपिल शर्मा को Bharti Singh ने लिया आड़े हाथ, बोलीं- लोगों की नाक बहती है, तुम्हारा तो...देखें Video",0
Australian rules football: Maffra go a game clear ahead of Traralgon clash,2
Some Fans Feel Citi Field Ignores the Old Mets,1
Weeks of Wooing First Lady Pay Off for a New University,2
Gay couple elected prom king and queen in Maine's Sanford High School,2
Australia's Governor-General cuts trip short over looming election,1
हम जो समाज बना रहे हैं...,0
"एएमयू विवाद : शत्रुघ्न सिन्हा ने कहा, लोगों की तस्वीरें हटाने की क्या जरूरत?",1
Deadly quake hits southwestern Pakistan,0
Beans Memes Is The Only Twitter Account That Actually Matters,3
Shocking: Your favourite juice contains more sugar than cola,4
Inside Story : आतंकवादी नावेद से पूछताछ के बाद क्या हासिल हुआ?,1
"गैजेट्स का इस्तेमाल बन रहा है 'रिपिटिटिव इन्जरी' की वजह, जानिए क्या है ये बीमारी",1
"आपने कभी नहीं सुना: इस शख्स ने 30 साल तक रखा अपने पिता की लाश को फ्रिज में, वजह जान हैरान होंगे",4
"थायराइड के मरीजों के लिए रामबाण है यह देसी नुस्खा, अपनाएंगे तो होगा कमाल",3
Suicide bombers kills 31 in Pakistan,0
Is Star Power Enough to Sell Beer in Hard Times? Two Brewers Hope So,2
"Schapelle Corby found guilty, sentenced to 20 years",1
Unbelievable: Man married to his phone for 5 years,4
"IPL 2019: धोनी, रोहित और विराट को नाम बताने लगा ये खिलाड़ी तो बोले- नेम छोड़ गेम दिखा- देखें Video",0
UK scientists discover multiple antibiotics used by fungus-farming ants to protect colonies,2
"INDvsPAK: 'हाई वोल्टेज' मैच से पहले मोहम्मद आमिर ने खेला माइंड गेम, क्या विराट कोहली पर पड़ेगा इसका फर्क",1
You won't believe which actress secretly got married last week,4
Croatian singer beaten in Belgrade,0
वीजा विवाद : भारतीय सैन्य दल ने किया चीन दौरा स्थगित,0
"बच्चों की सेहत के लिए रामबाण है यह ड्राई फ्रूट्स, रोजाना खिलाएं, होगा फायदा",3
"Insane! Woman delivers baby in moving train, passengers help",4
Do You Have ESP,3
So Cute! आलिया के बचपन का वीडियो देखने के बाद आप भी कहेंगे WOW,1
"नेहा कक्कड़ के घर जन्मदिन की पार्टी, ये सितारे रहे शामिल",3
"Dear World, A Word Of Advice From India: Your Butts Are Dirty",3
"सपना चौधरी को डांस में टक्कर देने आया ये बच्चा, स्टेज पर उसके ठुमके देख रह गईं हैरान- देखें Video",2
"अमिताभ बच्चन के फैन होने का मतलब क्या है, बता रहे हैं रणवीर और अभिषेक",1
Rachel Bilson And Kristen Bell Are Your New Mom-Friend Goals,3
Northern Ireland loyalist group lays down arms,1
Terrifying truth about your microwave revealed by scientist,4
Sprinter Allan Davis wins the Tour Down Under,1
क्या है सारदा और रोजवैली समूह भ्रष्टाचार की पूरी कहानी?,1
जानिए बुकर पुरस्कार जीत चुके इस लोकप्रिय कवि के लिए क्यों ट्विटर है ख़ास..,1
This Korean Pop Star Can't Stop Falling On Stage During Her Performance,3
"बीपी की समस्या में रामबाण है यह पत्ता, रोजाना चबाएं, कंट्रोल होगा बीपी",3
विराट कोहली को इस एक्ट्रेस ने लगाया गले तो फैन्स बोले- तलाक करवाओगी क्या...,1
High-Flying Dwight Howard Rattles the Cavaliers,0
"Nach Baliye 9: उर्वशी ढोलकिया ने अपने एक्स के साथ कुछ इस तरह किया रोमांटिक डांस, Video देख रह जाएंगे हैरान",2
"कोलकाता में डॉक्टर पर मरीज के परिजनों ने किया हमला, केस दर्ज",3
German Social and Christian Democrats agree on new government,1
Flooding kills 91 in El Salvador,0
क्या फर्जी था अलीगढ़ में मीडिया के सामने हुआ एनकाउंटर? उठ रहे कई सवाल,1
Kathy Griffin And Kristin Chenoweth Talk About Their Worst Heckler Stories,3
"RTI से खुलासा: एक साल में खरीदे गए करीब 600 करोड़ के चुनावी बॉन्ड, अकेले दिल्ली में भुनाए गए 80 फीसदी बॉन्ड",2
'द रिंग' नहीं है शाहरुख खान और अनुष्का शर्मा की अगली फिल्म का नाम,0
Punjab elections 2017: पंजाब में AAP को मिला CM का चेहरा!,1
"भड़काऊ भाषण मामले में गिरिराज सिंह ने किया आत्मसमर्पण, जमानत मंजूर",0
Bill Changing Credit Card Rules Is Sent to Obama With Gun Measure Included,2
"विराट कोहली ड्रेसिंग रूम में नए खिलाड़ियों को कंफर्टेबल करने के लिए करते हैं ऐसा, खुद किया खुलासा",2
U.S. and China Agree to Study Ways to Make Buildings More Energy-Efficient,2
"स्किन एलर्जी में रामबाण है यह फेस पैक, एक बार लगाएंगे तो होगा फायदा",3
अब रजनीकांत के साथ रोमांस करेंगी कैटरीना!,1
मुंबई में होली नहीं खेल पाएंगे आसाराम!,1
"Ibrahim Ferrer, Cuban singer, dies at 78",1
"पंजाब किंग्स की टीम में आया नया कोच, पूर्व दिग्गज ने संभाली कमान",3
"सनी देओल की फिल्म गदर 2 का सीक्रेट, इन सीन के लिए लगाई थी भारी टक्कर",3
लास वेगास फायरिंग: अमेरिकी राष्‍ट्रपति डोनाल्‍ड ट्रंप के भाषण की आलोचना करना केविन पीटरसन को पड़ा भारी,0
"Election 2019 के लिए तैयार हुआ Google, कौन दे रहा है चुनावी विज्ञापन, ऐसे करेगा खुलासा",2
Ceremony to Name Court for Carril Is Also a Sad Reminder,2
"राहुल गांधी के खिलाफ अमेठी में किसानों ने किया प्रदर्शन, लगाए 'इटली वापस जाओ' के नारे",0
Paula Creamer Is Feeling Better and Aiming to Win on L.P.G.A. Tour,2
Catholic Democrats tell Chicago Cardinal George not to pull funding from immigration campaigners supporting same-sex marriage,2
This one nut can boost your memory in 7 days,4
बस ड्राइवर का ड्राइविंग के दौरान हेलमेट न पहनने पर 500 रुपये का चालान!,1
लोकसभा चुनाव 2019 : क्या कांग्रेस सहित विपक्ष की यह एक बड़ी रणनीतिक चूक है?,1
"Wikinews interviews Kent Mesplay, Green Party presidential candidate",1
"राज्यसभा के उपसभापति चुनाव में TMC नहीं उतारेगी अपना उम्मीदवार, जानिए क्या है कारण",1
This will blow your mind: The hidden feature on your phone you never knew,4
"जाह्नवी कपूर ने जिम में 'झिंगाट' गाने पर की एक्सरसाइज, Video देख चौंक जाएंगे आप",2
"18 Slightly Horrifying Airport Moments That Will Make You Say ""WHY?!""",4
Four miners trapped in Ecuador mine,0
"'कबीर सिंह' देखने के लिए नाबालिगों ने किया ऐसा काम, सुनकर आप भी हो जाएंगे हैरान",2
किस बात पर हो गई सानिया और शोएब की बहस! क्या आपने देखा है यह वीडियो...,2
"Fire breaks out in Ku-ring-gai Chase National Park, Australia",1
अन्ना खुद वोट क्यों नहीं डालते : दिग्विजय सिंह,1
Bomb Blast Kills Tourist in Cairo,0
"2 Tour de France Riders Shot, Apparently by an Air Rifle",2
You won't believe which sports star just opened a free academy,4
This will blow your mind: How to earn 1 lakh rupees from your phone,4
कबाड़ से तैयार ताजमहल और एफिल टावर,0
EU to give 280 million euro in aid to dairy farmers,2
"बारिश के बाद ऑस्ट्रेलियाई पीएम आवास के बाहर हुआ कुछ ऐसा, सभी हैं हैरान",2
"सूजन कम करने के लिए रोज पिएं यह हर्बल चाय, 7 दिन में दिखेगा फर्क",3
"वजन बढ़ाने के लिए डाइट में शामिल करें ये 3 चीजें, असर देख हैरान होंगे",3
"पाचन को दुरुस्त रखने के लिए रोजाना खाएं यह मसाला, बदहजमी होगी दूर",3
दिल्ली में मॉनसून ने जाते-जाते दिखाया रंग,0
कैलाश चंद्र यादव: चार उंगली से हॉकी खेलते हुए दिल जीता लेकिन गरीबी से हार गए,0
"एसिडिटी से तुरंत राहत दिलाएगा यह घरेलू नुस्खा, भोजन के बाद लें",3
Taliban militant kills at least thirteen in northwest Pakistan,1
"Unbelievable: 70-year-old lifts 100 kg weight, breaks record",4
आईएसआई है हक्कानी गुट के संपर्क में : पाक सेना,0
Mesmerizing Barcelona Beat Manchester United With Style in Champions League Final,2
"ईशान किशन को टीम से बाहर किए जाने पर भड़के फैंस, किया ट्रोल",3
What happens next is shocking - bride's father breaks down!!!,4
"सचिन तेंदुलकर ने अपनी सेहत को लेकर किया ट्वीट, फैंस हुए चिंतित",3
"देहरादून में भूस्खलन से मलबे में दबे 4 लोग, रेस्क्यू ऑपरेशन जारी",3
साधु-संतों से बोले बाबा रामदेव: जब भगवान राम-कृष्ण ने धूम्रपान नहीं किया तो हमें क्यों करना चाहिए?,1
"होश उड़ जाएंगे: दिल्ली के इस मेट्रो स्टेशन के नीचे मिली सुरंग, जो सीधे पाकिस्तान जाती है, सेना ने की घेराबंदी",4
Senate Scraps Automatic Raise,0
This will blow your mind: The hidden feature in every ATM,4
21 Tweets That Prove Your Brain Can Be A Real Dick Sometimes,3
"पंजाब में नदी का जलस्तर बढ़ा, 20 गांवों को किया गया खाली",3
पंचायत चुनावों में अर्धसैनिक बलों की तैनाती की मांग को लेकर अदालत पहुंची कांग्रेस,0
"कभी ऐसा तोहफा, देखा सुना है!",1
Investigation launched after two military aircraft nearly collide with passenger airliner,2
"Neolithic noodles found in Qinghai, China",0
Italy urges pilgrims to avoid Rome city centre for Pope funeral,2
Steel Industry: Tata buys Corus,0
England and Wales Director of Public Prosecutions to seek bomb plot retrial,2
21 Weird Punishments People Actually Got When They Were Kids,3
New Rules to Allow Some Players to Switch National Teams,1
"चौंकाने वाला खुलासा: इस कंपनी का तेल खाने से हो रही है बीमारी, 1000 लोगों ने की शिकायत, कंपनी बंद",4
"FBI recruits for ""War on Porn""",0
"दहल उठा इंटरनेट: इस कपल ने शादी के 50 साल बाद तोड़ा रिश्ता, वजह जान चौंक जाएंगे!!!",4
"मोटापा घटाने के लिए नाश्ते में शामिल करें यह देसी चीज, देखें परिणाम",3
Eldest son of Khadr family denied bail; purchased weapons for Afghan militants,2
Fossett set to recreate first non-stop trans-Atlantic flight,1
Shocking CCTV: Student saves teacher from heart attack,4
"होश उड़ा देगा: 2 रुपये की इस चीज से 15 दिन में भर जाएंगे बाल, आप भी कर सकते हैं ट्राई!!!",4
Emir of Qatar abdicates throne,0
"Shocking: Your favourite bread contains plastic, lab confirms",4
किरायेदार की बीवी से बलात्कार के दोषी को उम्रकैद की सजा,0
7 Really Delicious Dinners For The Week,3
"शेर के पिंजरे में हाथ देना पड़ा महंगा, देखें ये Shocking Video",2
"भोपाल के स्कूल में बच्चों के खाने में मिला कीड़ा, अभिभावकों ने किया हंगामा",3
Texas authorities obtain DNA from jailed FLDS leader Warren Jeffs,1
"Homeless Columbus, Ohio man with 'god-given gift of voice' becomes YouTube sensation",2
"मुकेश अंबानी ने रिलायंस जियो से हुई कमाई का पहली बार किया खुलासा, बतायी यह कैलकुलेशन भी...",2
"चुनावी हलफनामे उम्मीदवार आय के स्रोत का खुलासा करें, सुप्रीम कोर्ट में याचिका",2
"Serena Williams, Who Once Beat Andy Roddick, Now Has Focus on Quarterfinal",2
"वीरेंद्र सहवाग का वीडियो वायरल, पाकिस्तानी खिलाड़ी पर सुनाई तंज",3
क्या नई GST दरें पहले के वैट से अधिक हैं? जनाब! आप भी दूर कर लीजिए ये 7 भ्रांतियां,2
24 Delicious Thanksgiving Desserts That Aren't Pie,3
Suspect in model Jasmine Fiore's murder found dead,1
NGOs in Taiwan to promote carbon-decreasing movements in different sectors before Earth Day,2
"कैटरीना कैफ की शादी के बाद विक्की कौशल से दूरी, फैंस ने पूछा सच",3
"सलमान खान की 'दबंगई'...फिर साइकिल लेकर मुंबई की सड़कों पर कुछ इस अंदाज में आए नजर, देखें वीडियो",0
Woman suffers heart attack at cardiology summit,1
करें ऐसे अपनी खूबसूरत आंखों की देखभाल...,0
"जसप्रीत बुमराह की वापसी को लेकर मिली बड़ी खबर, फैंस में खुशी",3
World War II veteran regains use of second eye after freak accident,2
"आपने कभी नहीं देखा: दुनिया का सबसे मोटा आदमी भारत में, वजन 500 किलो, उठाने के लिए लगी क्रेन",4
New Zealand journalist deported from Fiji,0
"होश उड़ जाएंगे: दिल्ली के इस अस्पताल में डॉक्टरों ने मरीज का किडनी निकाल बेच दी, केस दर्ज!!!",4
Britney Spears announces she is pregnant,0
This will blow your mind: How to get free internet forever,4
"अमृतसर में स्वर्ण मंदिर के बाहर विवादित नारे लगाने का मामला, मचा बवाल",3
"पुलिस को सड़क पर मिला 590 किलो गांजा, ट्विटर पर लिखा- 'घबराइए मत! हमें मिल गया, संपर्क करना हो तो...'",1
25 Fans Who Are More Genius Than The Players,3
You won't believe what Shah Rukh Khan said about retirement,4
"शुगर क्रेविंग को कंट्रोल करने का देसी नुस्खा, अपनाएंगे तो होगा फायदा",3
Are You Brave Enough To Date A Werewolf,3
Nobody Likes Hand Jobs,3
"'Invitational Games for the Deaf, Taipei 2008' Day 2 features martial art events",2
"बिहार की चरमराती स्वास्थ्य व्यवस्था सवालों के घेरे में, चौंकाने वाले तथ्य",2
"डेटिंग ऐप: क्या पता आपका प्यार ऑनलाइन है, और आप उसे बादलों के पार ढूंढ़ रहे हों!",2
"John ""Jebby"" Bush, son of Florida Governor Bush, arrested for public intoxication",2
Computer professionals celebrate 10th birthday of A.L.I.C.E.,1
"जया प्रदा ने राजनीति छोड़ने की वजह बताई, सुन फैंस हुए इमोशनल",3
Botswana holds parliamentary elections,0
"सनसनी: दिल्ली के इस इलाके में मिल रहा है 1 रुपये में मकान, हजारों लोगों ने किया आवेदन",4
